DEBUG | ??:??:?? 9 [Router] Enqueued local (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=70)
INFO  | ??:??:?? 9 [Router] tophone queue status queue is full, discard oldest
DEBUG | ??:??:?? 9 [Router] Rx someone rebroadcasting for us (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=7
DEBUG | ??:??:?? 9 [Router] Didn't find pending packet
INFO  | ??:??:?? 9 [Router] Packet History - insert: Using new slot @uptime 9.777s TRACE NEW
DEBUG | ??:??:?? 9 [Router] handleReceived(REMOTE) (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=70)
DEBUG | ??:??:?? 9 [Router] Send module config: range test
DEBUG | ??:??:?? 9 [Router] Module 'Admin' wantsPacket=1
INFO  | ??:??:?? 9 [Router] Received Admin from=0xef8d4c32, id=0x675410cc, portnum=6, payloadlen=44
DEBUG | ??:??:?? 9 [Router] Allow admin response message
INFO  | ??:??:?? 9 [Router] Handle admin payload 15
DEBUG | ??:??:?? 9 [Router] Module API did not handle admin message 15
DEBUG | ??:??:?? 9 [Router] Module 'Admin' considered
DEBUG | ??:??:?? 9 [Router] Module 'routing' wantsPacket=1
DEBUG | ??:??:?? 9 [Router] Routing sniffing (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=70)
DEBUG | ??:??:?? 9 [Router] Received a ACK for 0x693f7a56, stopping retransmissions
DEBUG | ??:??:?? 9 [Router] Delivering rx packet (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=70)
DEBUG | ??:??:?? 9 [Router] Ignore update from self
